Clone,Treatment,Kairomone,UVR,Mother_ID,Sex,Instar,Neck_teeth_count,Bump_score,Body_length,Body_width,Spina_length
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,C,0.7106484,0.4116691,0.24622273
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,1,C,NA,NA,NA
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,C,0.6967304,0.3902528,0.25145058
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,3,C,0.6570226,0.3807605,0.22183983
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,C,NA,NA,NA
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,C,0.6804866,0.3811012,0.2278278
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,1,C,0.6719424,0.3746538,0.22944533
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,3,C,0.7144681,0.404651,0.2521849
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,B,0.6731001,0.353482,0.25086934
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,2,B,0.7176802,0.389787,0.2335235
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,2,0,A,0.8241929,0.4450521,0.23452158
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,2,0,A,0.8270573,0.4503851,0.20832545
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,2,0,A,0.9099753,0.53143,0.25041633
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_2,Female,1,1,B,0.6686076,0.3661672,0.26095982
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,3,C,0.7388438,0.4381245,0.25392837
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,3,C,0.6777111,0.401496,0.24145985
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,2,B,0.6647391,0.3669106,0.22060803
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,2,B,0.7289822,0.4239373,0.25654665
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,3,B,0.7301961,0.4215199,0.22960081
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,2,B,0.7138867,0.3925735,0.25298121
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,2,B,0.7203332,0.4058038,0.23854017
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,NA,1,2,B,NA,NA,NA
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,4,C,0.7439066,0.4592934,0.24145985
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,1,3,C,0.7260749,0.4307241,0.23992334
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,2,0,A,0.8902974,0.4979223,0.22060803
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,2,3,B,0.8902974,0.5043312,0.17185527
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_8,Female,2,0,A,0.8622199,0.5238677,0.23185047
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,4,C,0.7428243,0.4372053,0.27102173
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,2,C,0.7254983,0.4290564,0.28665817
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,1,B,0.7285014,0.427458,0.25222349
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,3,C,0.7497664,0.4373834,0.25639486
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,3,C,0.734833,0.4276401,0.25222349
P5,P5_Kairomone,+Kairomone,−UVR,P5_Kairomone_5,Male,1,3,C,0.7326178,0.4141988,0.24395932
